,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
591,MERCEDES-BENZ E550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,midsize car,7,13,19,16,4,no
592,MERCEDES-BENZ E63 AMG,6.2,8,Auto-S7,2WD,Gasoline,midsize car,6,12,19,15,3,no
593,MERCEDES-BENZ E63 AMG Wagon,6.2,8,Auto-S7,2WD,Gasoline,station wagon,6,12,18,14,2,no
594,MERCEDES-BENZ G500,5.0,8,Auto-L7,4WD,Gasoline,SUV,6,12,15,13,1,no
595,MERCEDES-BENZ G55 AMG,5.4,8,Auto-L5,4WD,Gasoline,SUV,6,11,13,12,0,no
596,MERCEDES-BENZ GL450 4Matic,4.6,8,Auto-L7,4WD,Gasoline,SUV,7,13,18,15,3,no
597,MERCEDES-BENZ GL550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13,17,14,2,no
598,MERCEDES-BENZ ML350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15,20,17,4,no
599,MERCEDES-BENZ ML550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,SUV,7,13,18,15,3,no
600,MERCEDES-BENZ Maybach 57,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
601,MERCEDES-BENZ Maybach 57S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
602,MERCEDES-BENZ Maybach 62,5.5,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
603,MERCEDES-BENZ Maybach 62S,6.0,12,Auto-L5,2WD,Gasoline,large car,6,10,16,12,0,no
604,MERCEDES-BENZ R350,3.5,6,Auto-L7,2WD,Gasoline,SUV,7,15,20,17,4,no
605,MERCEDES-BENZ R350 4Matic,3.5,6,Auto-L7,4WD,Gasoline,SUV,7,15,19,16,4,no
606,MERCEDES-BENZ S550,5.5,8,Auto-L7,2WD,Gasoline,large car,7,14,21,16,4,no
607,MERCEDES-BENZ S550 4Matic,5.5,8,Auto-L7,4WD,Gasoline,large car,7,14,20,16,4,no
608,MERCEDES-BENZ S600,5.5,12,Auto-L5,2WD,Gasoline,large car,6,11,17,13,1,no
609,MERCEDES-BENZ S63 AMG,6.2,8,Auto-S7,2WD,Gasoline,large car,6,11,17,13,1,no
610,MERCEDES-BENZ S65 AMG,6.0,12,Auto-S5,2WD,Gasoline,large car,6,11,17,13,1,no
611,MERCEDES-BENZ SL55 AMG,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12,17,14,2,no
612,MERCEDES-BENZ SL550,5.5,8,Auto-L7,2WD,Gasoline,small car,7,14,21,16,4,no
613,MERCEDES-BENZ SL600,5.5,12,Auto-L5,2WD,Gasoline,small car,6,11,18,14,2,no
614,MERCEDES-BENZ SL65 AMG,6.0,12,Auto-S5,2WD,Gasoline,small car,6,11,18,14,2,no
615,MERCEDES-BENZ SLK55 AMG,5.4,8,Auto-S7,2WD,Gasoline,small car,6,14,20,16,4,no
616,MERCEDES-BENZ SLR,5.4,8,Auto-S5,2WD,Gasoline,small car,6,12,16,13,1,no
617,MERCURY Mariner,2.3,4,Auto-L4,2WD,Gasoline,SUV,6,20,26,22,6,no
618,MERCURY Mariner,2.3,4,Auto-L4,4WD,Gasoline,SUV,6,19,24,21,6,no
619,MERCURY Mariner,3.0,6,Auto-L4,2WD,Gasoline,SUV,6,18,24,20,6,no
620,MERCURY Mariner,3.0,6,Auto-L4,4WD,Gasoline,SUV,6,17,22,19,5,no
621,MERCURY Mariner Hybrid,2.3,4,Auto-AV,2WD,Gasoline,SUV,9.5,34,30,32,9,yes
622,MERCURY Mariner Hybrid,2.3,4,Auto-AV,4WD,Gasoline,SUV,9.5,29,27,28,8,yes
623,MERCURY Milan,2.3,4,Auto-L5,2WD,Gasoline,midsize car,9.5,20,28,23,7,yes
624,MERCURY Milan,3.0,6,Auto-L6,4WD,Gasoline,midsize car,7,17,25,20,6,yes
625,MERCURY Milan,3.0,6,Auto-L6,2WD,Gasoline,midsize car,7,18,26,21,6,yes
626,MERCURY Mountaineer,4.0,6,Auto-L5,2WD,Gasoline,SUV,7,14,20,16,4,no
627,MERCURY Mountaineer,4.0,6,Auto-L5,4WD,Gasoline,SUV,7,13,19,15,3,no
628,MERCURY Mountaineer,4.6,8,Auto-L6,2WD,Gasoline,SUV,7,13,20,16,4,no
629,MERCURY Mountaineer,4.6,8,Auto-L6,4WD,Gasoline,SUV,7,13,19,15,3,no
630,MERCURY Sable,3.5,6,Auto-L6,4WD,Gasoline,large car,9.5,17,24,19,5,no
631,MERCURY Sable,3.5,6,Auto-L6,2WD,Gasoline,large car,9.5,18,28,22,6,yes
632,MINI Mini Cooper Convertible,1.6,4,Auto-AV,2WD,Gasoline,small car,6,25,33,28,8,yes
633,MINI Mini Cooper Convertible,1.6,4,Man-5,2WD,Gasoline,small car,6,26,35,29,8,yes
634,MINI Mini Cooper S Convertible,1.6,4,Auto-S6,2WD,Gasoline,small car,6,22,31,26,8,yes
635,MINI Mini Cooper S Convertible,1.6,4,Man-6,2WD,Gasoline,small car,6,24,31,27,8,yes
636,MITSUBISHI Eclipse,2.4,4,Auto-S4,2WD,Gasoline,small car,7,20,26,22,6,yes
637,MITSUBISHI Eclipse,2.4,4,Man-5,2WD,Gasoline,small car,7,20,28,23,7,yes
638,MITSUBISHI Eclipse,3.8,6,Man-6,2WD,Gasoline,small car,6,16,25,19,5,no
639,MITSUBISHI Eclipse,3.8,6,Auto-S5,2WD,Gasoline,small car,6,17,25,20,6,no
640,MITSUBISHI Eclipse Spyder,2.4,4,Auto-S4,2WD,Gasoline,small car,7,19,26,22,6,yes
641,MITSUBISHI Eclipse Spyder,2.4,4,Man-5,2WD,Gasoline,small car,7,19,26,22,6,yes
642,MITSUBISHI Eclipse Spyder,3.8,6,Auto-S5,2WD,Gasoline,small car,6,16,24,19,5,no
643,MITSUBISHI Eclipse Spyder,3.8,6,Man-6,2WD,Gasoline,small car,6,16,25,19,5,no
644,MITSUBISHI Endeavor,3.8,6,Auto-S4,2WD,Gasoline,SUV,6,15,22,18,5,no
645,MITSUBISHI Endeavor,3.8,6,Auto-S4,4WD,Gasoline,SUV,6,15,19,17,4,no
646,MITSUBISHI Galant,2.4,4,Auto-S4,2WD,Gasoline,midsize car,9.5,20,27,23,7,yes
647,MITSUBISHI Galant,3.8,6,Auto-S5,2WD,Gasoline,midsize car,6,17,25,20,6,no
648,MITSUBISHI Lancer,2.0,4,Man-5,2WD,Gasoline,small car,9.5,21,29,24,7,yes
649,MITSUBISHI Lancer,2.0,4,Auto-AV,2WD,Gasoline,small car,9.5,22,29,24,7,yes
650,MITSUBISHI Outlander,3.0,6,Auto-S6,2WD,Gasoline,SUV,9.5,17,25,20,6,yes
651,MITSUBISHI Outlander,3.0,6,Auto-S6,4WD,Gasoline,SUV,9.5,17,24,20,6,yes
652,MITSUBISHI Outlander,2.4,4,Auto-AV,2WD,Gasoline,SUV,6,20,25,22,6,no
653,MITSUBISHI Outlander,2.4,4,Auto-AV,4WD,Gasoline,SUV,6,20,25,22,6,no
654,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,7,15,20,17,4,no
655,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,7,14,18,15,3,no
656,MITSUBISHI Raider,4.7,8,Auto-L5,2WD,Gasoline,pickup,7,14,19,15,3,no
657,MITSUBISHI Raider,4.7,8,Auto-L5,4WD,Gasoline,pickup,7,14,19,15,3,no
658,MITSUBISHI Raider,3.7,6,Auto-L4,2WD,Gasoline,pickup,6,15,20,17,4,no
659,MITSUBISHI Raider,3.7,6,Man-6,2WD,Gasoline,pickup,6,16,20,18,5,no
660,MITSUBISHI Raider,3.7,6,Auto-L4,4WD,Gasoline,pickup,6,14,18,15,3,no
661,NISSAN 350Z,3.5,6,Auto-S5,2WD,Gasoline,small car,7,17,24,20,6,yes
662,NISSAN 350Z,3.5,6,Man-6,2WD,Gasoline,small car,7,18,25,20,6,yes
